date,open,high,low,close,Volume BTC,Volume USD,market_cap,NVT,NVRV,NVHR,NVML,NVOL,implied price,fcas,fng_value,fng_class,news_value,news_class,google_trend_bitcoin
2021-01-13,34035.02,37800.0,32327.76,37393.49,13662.38751261,510884350.8289068,634537948734.0,66.685390117563,3.31893271605,155708849.33841553,1.0003061366713677,58.63298657667518,4894.190366714433,903.0,78.0,Extreme Greed,0.19648333333333332,Positive Sentiment,30.68
2021-01-12,35449.71,36639.23,32479.91,34035.02,18267.87445007,621747472.2656214,638348312900.0,53.994079197115,3.024579234512,151611247.72948113,0.9942227332422208,58.60360494200711,5073.710357026511,901.0,84.0,Extreme Greed,0.033725000000000005,Neutral Sentiment,34.84
2021-01-11,38164.88,38261.39,30261.13,35455.58,40786.96425433,1446125474.0765376,708987268091.0,54.22000853,3.17723254,157757649.32336253,1.2008901656086577,68.08741141379753,9632.384624238632,900.0,90.0,Extreme Greed,0.04309999999999999,Neutral Sentiment,52.0
2021-01-10,40239.06,41450.0,34322.07,38173.73,16218.9974052,619139627.8168055,761249219002.0,87.10192511,3.47615243,162879650.92477036,1.3173316433515474,73.95207034407183,7467.873160878077,901.0,94.0,Extreme Greed,0.35756666666666664,Positive Sentiment,30.68
2021-01-09,40682.76,41422.77,38788.16,40239.06,8535.84731272,343474472.1673788,739992099341.0,79.88580707,3.6883279,134307072.19635198,0.9473945499131359,61.15232373235251,4332.341677301269,901.0,93.0,Extreme Greed,-0.059525,Negative Sentiment,33.39
2021-01-08,39510.59,42000.0,36618.36,40667.07,22183.95174233,902156318.3819561,739585398403.0,48.6073758,3.78863874,136839436.2439882,0.8358627642275106,57.163975956653225,3332.4772323329325,898.0,93.0,Extreme Greed,0.047875000000000015,Neutral Sentiment,42.40000000000001
2021-01-07,36875.96,40402.46,36327.5,39510.49,23102.26120863,912781660.4609637,668591162803.0,48.301860938739,3.742047073313,155331252.39643878,0.7816585649470572,52.62410216057474,4005.2852298973107,899.0,91.0,Extreme Greed,-0.013119999999999998,Neutral Sentiment,44.52
2021-01-06,34081.24,37050.83,33348.27,36849.94,19219.28788972,708229605.5789086,629127920200.0,56.48855598,3.60095708,163652569.02152643,0.8803858175506871,54.53219354068549,4665.981840517823,897.0,95.0,Extreme Greed,0.123475,Positive Sentiment,28.09
2021-01-05,32054.23,34500.0,29936.26,34039.05,14806.49650719,503999074.9330658,583320590006.0,62.99039722,3.40781574,145160753.60874838,0.8042066628968407,50.158823841306614,3935.7354013577465,898.0,93.0,Extreme Greed,0.0,Neutral Sentiment,25.44
2021-01-04,33068.83,33669.76,27734.0,32005.88,22446.94000548,718434068.1825923,621996536438.0,58.16138312,3.2392637,159954206.02773148,0.9416187085810956,56.238218359476654,5486.268743135272,898.0,94.0,Extreme Greed,0.20292,Positive Sentiment,30.74
